year,state,new_cases,new_deaths
2020,AK,47828,220
2020,AL,384185,4987
2020,AR,241947,4971
2020,AS,0,0
2020,AZ,574680,9444
2020,CA,2582223,27223
2020,CO,363568,5175
2020,CT,199454,6230
2020,DC,30482,806
2020,DE,63317,1193
2020,FL,1317624,22316
2020,FSM,0,0
2020,GA,713842,11165
2020,GU,7378,123
2020,HI,22642,428
2020,IA,290777,4060
2020,ID,146110,1488
2020,IL,999288,18735
2020,IN,539229,9883
2020,KS,238208,3057
2020,KY,297050,2771
2020,LA,333513,7681
2020,MA,404053,12836
2020,MD,292904,6132
2020,ME,27625,384
2020,MI,551498,13664
2020,MN,426845,6541
2020,MO,455889,8603
2020,MP,125,2
2020,MS,228235,5013
2020,MT,84060,1015
2020,NC,604078,8613
2020,ND,93826,1366
2020,NE,169998,2320
2020,NH,48838,816
2020,NJ,560057,19523
2020,NM,149984,2641
2020,NV,237393,3295
2020,NY,603570,13392
2020,NYC,460727,25251
2020,OH,742817,14507
2020,OK,311924,2632
2020,OR,120223,1558
2020,PA,692078,17165
2020,PR,79903,1588
2020,PW,0,0
2020,RI,92904,1906
2020,RMI,4,0
2020,SC,333235,5583
2020,SD,101678,1518
2020,TN,622622,7385
2020,TX,1881653,29675
2020,UT,294923,1332
2020,VA,377309,5227
2020,VI,2106,24
2020,VT,7856,156
2020,WA,262154,3604
2020,WI,535999,5434
2020,WV,94681,1481
2020,WY,45696,465
