State,Abbreviation,Total Cases,Total Deaths
Alabama,AL,1659936,21138
Alaska,AK,297588,1468
Arizona,AZ,2451004,33451
Arkansas,AR,995043,13115
California,CA,12251820,101886
Colorado,CO,1783663,14385
Connecticut,CT,982335,12337
Delaware,DE,333772,3394
Florida,FL,7572282,87139
Georgia,GA,3080929,42782
Hawaii,HI,374264,1856
Idaho,ID,526118,5479
Illinois,IL,4136659,41961
Indiana,IN,2076326,26446
Iowa,IA,908936,10797
Kansas,KS,945923,9744
Kentucky,KY,1743117,18623
Louisiana,LA,1566171,18971
Maine,ME,322982,3038
Maryland,MD,1379385,16740
Massachusetts,MA,2242176,24644
Michigan,MI,3106362,42873
Minnesota,MN,1795771,14770
Mississippi,MS,1000415,13474
Missouri,MO,1790763,22931
Montana,MT,333959,3715
Nebraska,NE,575134,5089
Nevada,NV,898164,12025
New Hampshire,NH,382013,3052
New Jersey,NJ,3075271,36118
New Mexico,NM,681242,9236
New York,NY,3572043,32341
North Carolina,NC,3501404,29059
North Dakota,ND,291093,2513
Ohio,OH,3441458,42207
Oklahoma,OK,1306350,15884
Oregon,OR,975856,9550
Pennsylvania,PA,3559331,51047
Rhode Island,RI,441466,3915
South Carolina,SC,1852019,19923
South Dakota,SD,282895,3231
Tennessee,TN,2542163,29549
Texas,TX,8508204,93780
Utah,UT,1097475,5362
Vermont,VT,154243,967
Virginia,VA,2310846,23382
Washington,WA,1957759,16186
West Virginia,WV,650556,8125
Wisconsin,WI,2030717,16600
Wyoming,WY,187034,2031
